YEAR_BUILT,SQUARE_FEET,NUM_BEDROOMS,NUM_BATHROOMS,LOT_ACRES,GARAGE_SPACES,FRONT_PORCH,DECK,PRICE
2008,3063.6599637506733,2,1.0,1.37,2,0,0,490098
1991,2696.8789864326654,3,3.0,0.83,2,0,0,381981
2004,3128.891776483289,6,1.0,1.55,2,1,1,522583
2005,1601.5470000229984,4,2.5,0.76,3,0,1,304132
1980,2298.7600543295057,4,2.5,1.34,2,0,1,277414
2019,3698.4040780144237,6,1.5,1.11,2,0,0,683910
1993,1286.0038352726708,2,2.5,0.71,2,1,0,161050
1994,2319.6905823916345,4,2.5,1.1,1,0,1,331953
2004,1829.1091532261632,3,2.0,1.19,0,1,0,277216
2003,2093.135365157361,2,2.0,1.02,3,0,1,344270
2004,3635.3810362073555,5,3.0,0.94,3,1,0,624407
1986,2528.408505240568,6,3.0,1.13,0,0,1,336211
2002,1756.7625880372211,4,2.5,1.16,2,0,0,303414
2017,4071.7023250146667,5,2.0,0.86,1,1,1,708655
2002,1770.3436572899232,2,1.5,1.25,2,0,1,271801
2003,3247.445795442691,5,3.0,0.98,0,1,0,516816
2006,2569.8307309054026,2,1.5,1.1,3,1,1,424474
1995,3209.8456450735926,5,2.5,0.77,0,1,0,460526
1995,3979.910186761378,4,2.0,0.7,0,1,1,557486
1975,3769.0478542098535,5,2.0,1.13,1,1,1,457307
1991,2628.8101483479845,6,2.5,0.96,0,0,1,366221
2004,1835.3549562084263,4,2.5,1.27,1,1,1,311853
1992,2441.050041879047,2,1.0,1.23,2,1,1,314607
2016,2854.96440043553,3,3.0,0.94,2,0,0,532344
1997,3201.7335736994405,4,2.0,1.16,2,0,0,487660
1990,2904.839825875231,5,1.0,0.96,3,0,0,415125
1982,2454.3522732040105,4,3.0,0.83,2,1,1,310602
1999,2695.112394837706,3,1.0,0.92,1,0,1,378066
1983,3176.332807935183,3,3.0,1.18,2,1,1,419149
2013,2347.228334155625,5,3.0,0.95,1,0,0,446334
1999,2869.64932728647,2,1.0,0.62,1,1,0,389747
1986,1223.4986831509077,5,2.0,1.19,3,0,1,161374
2000,4193.341108795796,3,2.5,1.02,3,1,1,661801
1977,1984.025314639744,3,1.0,0.94,0,1,1,146703
2003,2300.5780445479177,5,1.0,1.51,0,0,0,352736
1992,3040.342901449938,2,3.0,1.14,0,0,1,403151
1998,5063.193061076061,2,1.5,0.98,1,0,0,726678
1988,3057.390285781221,3,1.5,0.9,0,0,1,369608
1987,1245.4425091615994,2,3.0,0.76,3,1,1,148216
1985,3240.473185958409,6,1.0,1.59,2,1,0,444920
2008,3412.307080455654,4,1.0,1.23,1,0,0,545296
2000,3536.6326655223093,2,3.0,1.12,2,0,1,547294
1994,3097.363264518997,6,2.0,0.55,3,0,0,482854
1991,2298.453735023632,6,1.0,1.15,2,1,0,327018
1988,1992.6703638085241,6,1.0,0.63,1,1,0,243350
1998,2026.525361343286,6,3.0,0.94,3,0,0,363078
1996,2977.9718818475376,5,3.0,1.14,3,0,0,488795
1989,1807.6676073771694,4,2.5,1.13,0,1,0,215600
1987,3277.3069641981797,2,1.0,1.25,1,0,1,400346
1995,4052.035256608324,5,2.5,1.26,1,1,1,609205
1996,1867.9695370283732,4,2.0,1.37,0,0,0,255745
1995,3489.71852313652,4,3.0,0.82,0,1,1,500757
2001,3178.9026606662856,6,1.5,0.69,2,1,1,509685
1987,3556.670251906032,6,2.5,1.33,2,1,1,520950
2012,3920.6132680543974,4,3.0,0.86,3,0,1,695991
2006,2944.24853298886,2,1.0,0.98,2,0,0,456337
1991,3613.04760314169,6,3.0,0.75,1,1,1,533207
1972,3382.9327942193954,4,2.0,1.08,3,0,0,403639
1991,2353.455956448358,6,3.0,0.96,1,0,1,347418
2001,3412.0973519566073,2,1.0,1.1,1,0,0,488314
2001,3371.7010778024096,4,2.0,0.96,1,1,1,515155
1998,1897.7485951684357,4,2.5,1.23,1,1,0,290612
1991,2408.161201019638,6,1.5,1.32,0,0,0,323524
2013,3081.001283273868,4,1.5,0.93,0,1,1,508600
1981,4804.7282535067825,4,2.5,1.19,0,0,0,626059
2003,3954.8588488738333,5,2.5,1.45,0,0,0,622478
1997,2500.582067730353,3,2.5,1.15,2,1,1,379837
1989,2492.4130478546813,5,3.0,1.26,0,0,0,337761
2010,4143.735018214704,4,2.0,1.28,0,0,0,665760
1990,2166.0318158932773,5,2.5,0.86,2,0,1,310304
2009,3999.36965547935,4,2.0,0.76,2,1,0,661305
1991,2802.5336868579025,4,3.0,0.97,1,1,0,394930
2008,2919.5831806609704,3,1.0,0.87,3,1,1,485987
2012,3500.9974345027304,5,3.0,0.74,0,0,1,596249
1972,2848.7994724560695,5,2.5,0.9,1,0,1,308319
1982,2629.026159451472,2,1.0,1.26,2,0,1,293253
1990,4293.7764418274965,6,1.5,0.63,3,1,1,636016
1992,3267.4456959421236,3,2.5,1.11,3,0,0,484266
1992,2910.477954385018,6,3.0,1.15,1,1,1,438821
1994,3957.638533719251,2,2.0,1.12,3,1,0,580445
1976,2498.728183530006,4,1.5,1.14,1,1,1,254409
1992,2400.0342461968085,3,1.5,1.33,2,0,0,327455
1987,2547.9303272807633,2,1.5,1.3,3,0,0,329189
1997,2450.4979464098865,6,2.0,1.37,0,0,0,368124
1984,1877.6407893201874,6,2.0,1.38,1,1,1,232346
1972,1222.6148474031568,4,3.0,0.58,1,0,1,57092
1995,2870.3786955140436,4,1.5,0.85,2,0,1,415806
1998,2141.2436674472424,5,2.5,1.15,0,0,1,320936
1981,1987.2409653505888,4,2.0,0.56,0,0,1,186486
2008,2220.382407562621,6,1.5,1.18,0,1,1,378257
1982,2668.5913322149067,2,3.0,0.89,1,0,0,308638
1990,3649.0397455662446,3,2.0,1.09,3,0,0,523705
2003,1887.7444780994504,2,1.5,1.19,3,0,0,308511
1986,2793.040125845908,6,1.0,1.16,0,1,1,346356
1999,3694.263454237782,2,3.0,1.32,1,1,0,553939
2006,2687.9154615551074,2,1.5,1.49,0,1,1,403037
2001,1913.029635946878,3,1.5,0.8,0,0,0,261454
1986,3784.0195208441505,2,3.0,0.37,2,1,1,503152
1991,2484.5799839727647,2,2.0,1.03,0,1,1,298136
1985,4463.703337437084,6,1.5,0.93,3,0,0,641005
1997,2774.0418734674586,2,1.0,0.99,1,0,0,370956
2000,3048.9667399504815,3,3.0,1.35,1,0,1,472595
1991,3551.0969734554246,5,2.0,1.26,0,1,0,491564
1996,3434.0182443686995,3,1.5,1.14,2,1,1,499702
1974,3352.3618285391362,5,1.5,0.8,2,1,0,392354
2000,3661.2210800760595,4,2.0,1.26,1,0,1,558083
1988,2899.223546328636,6,1.0,1.28,2,1,0,404083
1992,4275.357177339066,6,2.5,0.65,2,0,0,643553
2006,3297.8102768259187,5,1.5,0.65,3,0,0,556921
2013,2229.1578523390713,4,2.0,1.26,3,0,1,438273
1979,3471.765461544097,2,1.0,0.73,0,0,0,366714
1991,2373.7745737658465,3,2.5,1.1,3,1,1,345066
1991,1173.5001712710407,2,1.5,1.03,0,1,0,93975
1996,3613.9940021532616,3,2.5,1.06,2,0,1,540499
1994,3171.7813453005533,2,2.0,0.63,0,1,1,410217
1993,2713.1081367347115,2,1.0,1.1,0,0,1,328466
1986,2239.8794772864676,6,3.0,0.62,0,0,0,285281
1987,3571.3077264007834,6,2.5,0.8,3,1,1,530196
1991,3609.60247581001,2,1.5,1.01,0,1,0,459090
1996,4403.15217844079,5,1.5,0.58,3,0,0,671672
1990,3043.319274593863,4,1.0,0.67,1,1,0,391547
1999,3741.912726432678,4,2.5,1.1,0,0,1,555286
1992,2719.296494396197,6,1.5,0.84,3,1,1,412994
1991,4296.216781565224,3,1.0,0.65,1,0,1,574182
2005,2745.0893264391434,5,1.5,0.72,0,1,0,425063
1973,3204.129768971764,2,2.5,0.87,0,0,1,321169
1986,4194.8156355911615,5,2.0,1.09,2,1,0,590572
2010,3207.5886569502136,3,2.5,0.97,2,0,0,548188
1996,2523.8478836076556,2,1.0,1.08,3,0,0,359777
2004,2987.231241211822,6,3.0,1.38,3,0,0,543784
2000,2893.8407761125777,3,2.0,0.69,2,1,1,439426
1981,1578.326088443978,3,2.5,0.79,3,0,0,171098
